X ; Y ; XL93 ; YL93 ; NBSARM ; DIAM ; BIOM ; Date ; Vitesse ; NBSARMM2 ; NBSARCEP ; BIOMMM2 ; BIOMGM2 ; BIOMGCEP 
4.2674472;47.1616412;796016.5659891;6674255.3283956;6.06;11.82;665.00;2015-02-11 09:55:16;4.75;5.51;6.06;604.55;489.68;538.65
4.2675271;47.1616252;796022.6468903;6674253.6485766;1.48;25.53;755.28;2015-02-11 09:55:27;2.44;1.34;1.48;686.61;556.16;611.77
4.2675329;47.1616212;796023.0933685;6674253.2113851;16.74;10.01;1316.86;2015-02-11 09:55:28;0.86;15.22;16.74;1197.15;969.69;1066.66
4.2675484;47.1616112;796024.2853137;6674252.1196225;2.25;9.18;148.91;2015-02-11 09:55:30;3.20;2.05;2.25;135.37;109.65;120.61
4.2675574;47.1616021;796024.9832835;6674251.1199106;8.93;9.12;582.57;2015-02-11 09:55:31;3.63;8.11;8.93;529.61;428.98;471.88
4.2675687;47.1615912;796025.8586866;6674249.9230857;7.27;11.00;690.70;2015-02-11 09:55:32;5.94;6.61;7.27;627.91;508.61;559.47
4.2675811;47.1615761;796026.8249030;6674248.2611418;4.47;6.90;167.14;2015-02-11 09:55:33;6.44;4.07;4.47;151.94;123.07;135.38
4.2675917;47.1615610;796027.6547710;6674246.5970091;6.29;6.25;192.93;2015-02-11 09:55:34;6.87;5.72;6.29;175.39;142.06;156.27
4.2676096;47.1615335;796029.0597205;6674243.5645958;5.69;9.28;384.25;2015-02-11 09:55:36;6.33;5.17;5.69;349.32;282.95;311.25
4.2676231;47.1615153;796030.1147909;6674241.5597007;3.28;11.52;342.02;2015-02-11 09:55:37;6.58;2.98;3.28;310.92;251.85;277.03
4.2676332;47.1614998;796030.9074991;6674239.8505359;4.79;8.54;274.75;2015-02-11 09:55:38;6.01;4.36;4.79;249.78;202.32;222.55
4.2676439;47.1614848;796031.7447659;6674238.1976315;6.11;8.49;346.09;2015-02-11 09:55:39;6.48;5.56;6.11;314.62;254.85;280.33
4.2676547;47.1614705;796032.5883599;6674236.6225916;6.71;8.86;413.13;2015-02-11 09:55:40;6.44;6.10;6.71;375.57;304.21;334.63
4.2676640;47.1614555;796033.3195782;6674234.9679848;3.96;11.75;429.01;2015-02-11 09:55:41;6.37;3.60;3.96;390.01;315.91;347.50
4.2676722;47.1614393;796033.9696120;6674233.1787669;6.08;11.22;600.97;2015-02-11 09:55:42;6.51;5.53;6.08;546.34;442.53;486.79
4.2676806;47.1614233;796034.6344394;6674231.4120045;7.53;11.21;743.97;2015-02-11 09:55:43;6.69;6.85;7.53;676.34;547.83;602.62
4.2676918;47.1614083;796035.5095832;6674229.7597088;7.39;8.01;372.16;2015-02-11 09:55:44;6.33;6.72;7.39;338.33;274.05;301.45
4.2677036;47.1613931;796036.4305340;6674228.0859307;4.40;10.24;362.46;2015-02-11 09:55:45;6.55;4.00;4.40;329.51;266.90;293.59
4.2677155;47.1613764;796037.3617350;6674226.2456827;4.57;11.31;459.61;2015-02-11 09:55:46;6.30;4.16;4.57;417.82;338.44;372.28
4.2677348;47.1613484;796038.8736352;6674223.1594441;2.26;8.70;134.32;2015-02-11 09:55:48;6.37;2.06;2.26;122.11;98.91;108.80
4.2677452;47.1613313;796039.6919263;6674221.2729476;4.26;7.68;197.46;2015-02-11 09:55:49;6.76;3.87;4.26;179.51;145.40;159.94
4.2677553;47.1613158;796040.4846398;6674219.5637842;4.00;7.75;188.61;2015-02-11 09:55:50;6.30;3.64;4.00;171.46;138.88;152.77
4.2677646;47.1613005;796041.2163971;6674217.8758601;3.39;8.20;178.95;2015-02-11 09:55:51;6.37;3.08;3.39;162.68;131.77;144.95
4.2677742;47.1612846;796041.9719498;6674216.1216643;5.98;8.69;354.64;2015-02-11 09:55:52;6.62;5.44;5.98;322.40;261.14;287.26
4.2677816;47.1612694;796042.5596049;6674214.4425356;3.94;7.78;187.38;2015-02-11 09:55:53;6.40;3.58;3.94;170.34;137.98;151.78
4.2677885;47.1612551;796043.1077803;6674212.8627538;4.50;7.50;199.06;2015-02-11 09:55:54;6.40;4.09;4.50;180.96;146.58;161.24
4.2677964;47.1612407;796043.7318843;6674211.2730822;3.39;10.64;301.29;2015-02-11 09:55:55;6.37;3.08;3.39;273.90;221.86;244.05
4.2678046;47.1612258;796044.3796052;6674209.6282450;5.95;11.26;591.71;2015-02-11 09:55:56;6.66;5.41;5.95;537.92;435.71;479.28
4.2678148;47.1612106;796045.1793614;6674207.9525223;3.78;8.23;201.23;2015-02-11 09:55:57;6.66;3.44;3.78;182.94;148.18;163.00
4.2678254;47.1611955;796046.0092397;6674206.2883923;5.23;9.78;393.57;2015-02-11 09:55:58;6.19;4.76;5.23;357.79;289.81;318.79
4.2678338;47.1611791;796046.6747868;6674204.4772070;3.30;9.59;238.17;2015-02-11 09:55:59;6.55;3.00;3.30;216.51;175.38;192.91
4.2678417;47.1611633;796047.3013893;6674202.7320503;4.44;8.28;239.08;2015-02-11 09:56:00;6.48;4.04;4.44;217.35;176.05;193.66
4.2678487;47.1611478;796047.8592821;6674201.0191172;5.56;13.29;770.46;2015-02-11 09:56:01;6.48;5.05;5.56;700.42;567.34;624.07
4.2678567;47.1611321;796048.4932819;6674199.2851884;4.30;11.41;439.97;2015-02-11 09:56:02;6.69;3.91;4.30;399.97;323.98;356.37
4.2678670;47.1611164;796049.3015072;6674197.5540573;7.27;8.95;456.92;2015-02-11 09:56:03;6.44;6.61;7.27;415.38;336.46;370.11
4.2678769;47.1611015;796050.0780063;6674195.9112887;5.95;10.34;499.61;2015-02-11 09:56:04;6.66;5.41;5.95;454.20;367.90;404.69
4.2678843;47.1610872;796050.6640603;6674194.3321159;2.84;9.64;207.69;2015-02-11 09:56:05;6.33;2.59;2.84;188.81;152.94;168.23
4.2678938;47.1610723;796051.4102601;6674192.6888609;6.19;8.75;372.36;2015-02-11 09:56:06;6.40;5.62;6.19;338.51;274.19;301.61
4.2679034;47.1610567;796052.1652837;6674190.9679849;4.44;7.99;223.02;2015-02-11 09:56:07;6.48;4.04;4.44;202.74;164.22;180.65
4.2679120;47.1610422;796052.8425956;6674189.3680598;6.64;10.04;525.41;2015-02-11 09:56:08;6.51;6.03;6.64;477.64;386.89;425.58
4.2679201;47.1610260;796053.4850648;6674187.5787226;4.03;5.50;95.67;2015-02-11 09:56:09;6.26;3.66;4.03;86.97;70.44;77.49
4.2679280;47.1610116;796054.1091740;6674185.9890522;3.33;11.91;371.37;2015-02-11 09:56:10;6.48;3.03;3.33;337.61;273.46;300.81
